id,skeleton_cosine,executable
160,0.819881796836853,PASS
161,0.5847411155700684,PASS
162,0.8586449027061462,PASS
163,0.6827452182769775,PASS
164,0.8758989572525024,PASS
165,0.7797027230262756,PASS
166,0.8292774558067322,PASS
167,0.8395522832870483,PASS
168,0.7629218101501465,PASS
169,0.8381781578063965,PASS
170,0.8032994270324707,PASS
171,0.6637433171272278,PASS
172,0.8612377643585205,PASS
173,0.8104190826416016,PASS
174,0.9062085151672363,PASS
175,0.9734947085380554,PASS
176,0.8768365383148193,PASS
177,0.8150988221168518,PASS
178,0.8582345247268677,PASS
179,0.7395908236503601,PASS
180,0.901049017906189,PASS
181,0.7633404731750488,PASS
182,0.8363639712333679,PASS
183,0.8580552339553833,PASS
184,0.8627907037734985,PASS
185,0.8707449436187744,PASS
186,0.8941245675086975,PASS
187,0.8888710141181946,PASS
188,0.7942495346069336,PASS
189,0.769931435585022,PASS
190,0.775617241859436,PASS
191,0.8004380464553833,PASS
192,0.8359201550483704,PASS
193,0.8559240698814392,PASS
194,0.8473310470581055,PASS
195,0.8828449249267578,PASS
196,0.8206927180290222,PASS
197,0.8008432388305664,PASS
198,0.8878820538520813,PASS
199,0.845922589302063,PASS
200,0.8534873723983765,PASS
201,0.8554130792617798,PASS
202,1.0000001192092896,PASS
203,0.7573209404945374,PASS
204,0.8096290826797485,PASS
205,0.8349426984786987,PASS
206,0.8506609201431274,PASS
207,0.9172452688217163,PASS
208,0.7749359607696533,PASS
209,0.7496908903121948,PASS
210,0.9505735635757446,PASS
211,0.6906853914260864,PASS
212,0.7969875931739807,PASS
213,0.700724720954895,PASS
214,0.7921079397201538,PASS
215,0.853611946105957,PASS
216,0.8575509190559387,PASS
217,0.8158317804336548,PASS
218,0.8179084062576294,PASS
219,0.8935070633888245,PASS
220,0.7706295847892761,PASS
221,0.7347276210784912,PASS
222,0.7124931812286377,PASS
223,0.7994173765182495,PASS
224,0.8843275904655457,PASS
225,0.8006967306137085,PASS
226,0.8435128927230835,PASS
227,0.843787431716919,PASS
228,0.7294996976852417,PASS
229,0.8697635531425476,PASS
230,0.7067298293113708,PASS
231,0.8041204214096069,PASS
232,0.827770471572876,PASS
233,0.8413374423980713,PASS
234,0.944997251033783,PASS
235,0.7869808673858643,PASS
236,0.8786800503730774,PASS
237,0.8152098059654236,PASS
238,0.9173388481140137,PASS
239,0.8733370304107666,PASS
240,0.920059859752655,PASS
241,0.8501456379890442,PASS
242,0.7808986902236938,PASS
243,0.8755416870117188,PASS
244,0.845950722694397,PASS
245,0.8503067493438721,PASS
246,0.7278736233711243,PASS
247,0.7729515433311462,PASS
248,0.7821880578994751,PASS
249,0.962281346321106,PASS
250,0.8209439516067505,PASS
251,0.904167115688324,PASS
252,0.8952540755271912,PASS
253,0.9263588786125183,PASS
254,0.7976952791213989,PASS
255,0.8517448306083679,PASS
256,0.8566274046897888,PASS
257,0.7898711562156677,PASS
258,0.784293532371521,PASS
259,0.7945604920387268,PASS
260,0.8895846605300903,PASS
261,0.8743376731872559,PASS
